Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
10,"(X=-109.490616,Y=86.413597,Z=0.999931)","0.011879","1.835499",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=90.509384,Y=286.413605,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.91486,Y=-0.05527,Z=-0.399971)","(X=149.085953,Y=102.035202,Z=114.047981)","(Pitch=-6.908845,Yaw=-175.557587,Roll=2.225234)","1.0","1.0","(X=0.012688,Y=-0.208343)","(X=-0.019451,Y=-0.2116)","(X=-0.00337,Y=-0.20997)","True"
11,"(X=-108.796982,Y=85.251892,Z=0.999924)","0.010695","1.846193",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=91.203018,Y=285.251892,Z=0.999924)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.914211,Y=-0.059479,Z=-0.400851)","(X=149.034653,Y=102.026443,Z=114.050461)","(Pitch=-6.941896,Yaw=-175.544296,Roll=2.248077)","1.0","1.0","(X=0.014712,Y=-0.209351)","(X=-0.01538,Y=-0.210909)","(X=-0.000329,Y=-0.21013)","True"
12,"(X=-111.572525,Y=86.554657,Z=0.999931)","0.014439","1.860632",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=88.427475,Y=286.554657,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.916075,Y=-0.054307,Z=-0.397312)","(X=149.008713,Y=102.002625,Z=114.01693)","(Pitch=-6.874421,Yaw=-175.611893,Roll=2.191984)","1.0","1.0","(X=0.012745,Y=-0.206427)","(X=-0.020142,Y=-0.210021)","(X=-0.003685,Y=-0.208222)","True"
13,"(X=-112.300201,Y=85.092529,Z=0.999931)","0.013694","1.874327",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=87.699799,Y=285.092529,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.916269,Y=-0.059222,Z=-0.396162)","(X=148.98111,Y=101.980217,Z=113.968826)","(Pitch=-6.831022,Yaw=-175.453598,Roll=1.832017)","1.0","1.0","(X=0.012666,Y=-0.208391)","(X=-0.019238,Y=-0.207113)","(X=-0.003289,Y=-0.207752)","True"
14,"(X=-112.827148,Y=84.033325,Z=0.999931)","0.040086","1.914413",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=87.172852,Y=284.033325,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.916348,Y=-0.062721,Z=-0.395439)","(X=148.894531,Y=101.947372,Z=113.942635)","(Pitch=-6.781674,Yaw=-175.329575,Roll=1.530873)","1.0","1.0","(X=0.012666,Y=-0.208391)","(X=-0.019238,Y=-0.207113)","(X=-0.003289,Y=-0.207752)","True"
15,"(X=-108.21582,Y=84.322235,Z=0.999931)","0.013051","1.927464",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=91.78418,Y=284.322235,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.913813,Y=-0.062773,Z=-0.401255)","(X=148.783356,Y=101.976456,Z=113.84816)","(Pitch=-7.037232,Yaw=-175.34729,Roll=0.997318)","1.0","1.0","(X=0.011918,Y=-0.208303)","(X=-0.021548,Y=-0.209972)","(X=-0.004807,Y=-0.209137)","True"
16,"(X=-106.604141,Y=84.808052,Z=0.999924)","0.013539","1.941003",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=93.395859,Y=284.808044,Z=0.999924)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.912962,Y=-0.06147,Z=-0.403388)","(X=148.737823,Y=102.000427,Z=113.821579)","(Pitch=-7.172122,Yaw=-175.390549,Roll=1.105248)","1.0","1.0","(X=0.011918,Y=-0.208303)","(X=-0.021548,Y=-0.209972)","(X=-0.004807,Y=-0.209137)","True"
17,"(X=-104.82634,Y=85.729172,Z=0.999916)","0.022109","1.963112",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=95.17366,Y=285.729187,Z=0.999916)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.912086,Y=-0.058672,Z=-0.405778)","(X=148.686188,Y=102.037025,Z=113.785172)","(Pitch=-7.325166,Yaw=-175.486694,Roll=1.342677)","1.0","1.0","(X=0.011918,Y=-0.208303)","(X=-0.021548,Y=-0.209972)","(X=-0.004807,Y=-0.209137)","True"
18,"(X=-106.892303,Y=88.080513,Z=0.999939)","0.021514","1.984627",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=93.107697,Y=288.080505,Z=0.999939)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.913724,Y=-0.050077,Z=-0.403239)","(X=148.587906,Y=102.082108,Z=113.746819)","(Pitch=-7.439264,Yaw=-175.690338,Roll=1.579123)","1.0","1.0","(X=0.010806,Y=-0.206491)","(X=-0.026813,Y=-0.204837)","(X=-0.008004,Y=-0.205664)","True"
19,"(X=-141.56514,Y=93.55706,Z=41.145317)","0.023781","2.008407",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1335.568359,Y=-615.662354,Z=411.453186)","(X=1.0,Y=-0.000003,Z=0.0)","(X=-0.969697,Y=-0.02834,Z=-0.242662)","(X=148.457169,Y=102.033028,Z=113.721893)","(Pitch=-7.371249,Yaw=-175.904129,Roll=1.483646)","1.0","1.0","(X=-0.003948,Y=-0.082267)","(X=-0.049694,Y=-0.083304)","(X=-0.026791,Y=-0.082785)","True"
