Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
1363,"(X=616.56311,Y=-131.351868,Z=-145.062225)","0.010716","16.787201",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=32.917976,Y=-11.654239,Z=76.692459)","(X=-0.001334,Y=0.009443,Z=0.999955)","(X=0.549145,Y=-0.773673,Z=-0.316021)","(X=555.289978,Y=-45.026001,Z=-109.800842)","(Pitch=-0.537413,Yaw=-61.382977,Roll=4.493855)","0.283876","0.474037","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1364,"(X=560.751709,Y=-153.429916,Z=-144.791702)","0.011032","16.798233",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-22.267784,Y=-35.25264,Z=76.962982)","(X=0.007731,Y=-0.002561,Z=0.999967)","(X=0.049103,Y=-0.950427,Z=-0.307047)","(X=555.154297,Y=-45.088684,Z=-109.790688)","(Pitch=-0.484131,Yaw=-61.816711,Roll=4.415004)","0.386011","0.588724","(X=0.0,Y=0.0)","(X=-0.30921,Y=-0.267672)","(X=-0.30921,Y=-0.267672)","True"
1365,"(X=561.358643,Y=-152.671036,Z=-144.800232)","0.011238","16.809471",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-21.681862,Y=-34.477421,Z=76.954453)","(X=0.007731,Y=0.012022,Z=0.999898)","(X=0.056052,Y=-0.94934,Z=-0.309211)","(X=555.010071,Y=-45.146122,Z=-109.778122)","(Pitch=-0.431333,Yaw=-62.2267,Roll=4.351463)","0.447812","0.648528","(X=0.0,Y=0.0)","(X=-0.297271,Y=-0.267385)","(X=-0.297271,Y=-0.267385)","True"
1366,"(X=563.742859,Y=-150.62056,Z=-144.839401)","0.010782","16.820253",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-19.354702,Y=-32.362415,Z=76.915283)","(X=0.004342,Y=0.00594,Z=0.999973)","(X=0.079586,Y=-0.945806,Z=-0.314828)","(X=554.872864,Y=-45.208652,Z=-109.751274)","(Pitch=-0.41266,Yaw=-62.591022,Roll=4.312248)","0.447812","0.648528","(X=-0.253061,Y=-0.312307)","(X=-0.289335,Y=-0.222794)","(X=-0.271399,Y=-0.267055)","True"
1367,"(X=564.15741,Y=-149.490295,Z=-144.847931)","0.011272","16.831526",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-18.971264,Y=-31.22122,Z=76.906754)","(X=0.004342,Y=0.00594,Z=0.999973)","(X=0.085431,Y=-0.944195,Z=-0.318116)","(X=554.727173,Y=-45.265659,Z=-109.732849)","(Pitch=-0.361112,Yaw=-62.942005,Roll=4.261437)","0.490038","0.695177","(X=-0.243064,Y=-0.279508)","(X=-0.279954,Y=-0.257219)","(X=-0.261456,Y=-0.268396)","True"
1368,"(X=563.781921,Y=-148.00238,Z=-144.855133)","0.010958","16.842484",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-19.387365,Y=-29.744146,Z=76.899551)","(X=0.004342,Y=0.00594,Z=0.999973)","(X=0.084499,Y=-0.94272,Z=-0.322705)","(X=554.579468,Y=-45.334866,Z=-109.710793)","(Pitch=-0.326872,Yaw=-63.246075,Roll=4.176105)","0.540765","0.74508","(X=-0.239515,Y=-0.278314)","(X=-0.276663,Y=-0.265238)","(X=-0.258,Y=-0.271807)","True"
1369,"(X=563.939697,Y=-148.731659,Z=-144.851486)","0.010748","16.853231",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-19.209673,Y=-30.46883,Z=76.903198)","(X=0.004342,Y=0.00594,Z=0.999973)","(X=0.086829,Y=-0.943128,Z=-0.32089)","(X=554.425537,Y=-45.389423,Z=-109.690361)","(Pitch=-0.276889,Yaw=-63.522449,Roll=4.084416)","0.540765","0.74508","(X=-0.234386,Y=-0.278753)","(X=-0.271384,Y=-0.259889)","(X=-0.252822,Y=-0.269353)","True"
1370,"(X=563.50177,Y=-138.493027,Z=-141.783508)","0.011275","16.864506",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-3.486085,Y=-2.892828,Z=6.029282)","(X=-0.970296,Y=0.241919,Z=0.000843)","(X=0.093466,Y=-0.941152,Z=-0.324803)","(X=554.260559,Y=-45.439095,Z=-109.669487)","(Pitch=-0.268952,Yaw=-63.750618,Roll=3.961712)","0.569121","0.781244","(X=-0.234136,Y=-0.288531)","(X=-0.254423,Y=-0.252923)","(X=-0.244318,Y=-0.27066)","True"
1371,"(X=563.85498,Y=-137.194641,Z=-141.18074)","0.011393","16.875898",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-4.253667,Y=-1.787667,Z=6.63205)","(X=-0.885928,Y=0.463822,Z=0.000861)","(X=0.100304,Y=-0.94092,Z=-0.323432)","(X=554.078186,Y=-45.481537,Z=-109.655289)","(Pitch=-0.273652,Yaw=-63.998417,Roll=3.826186)","0.564211","0.817594","(X=-0.220021,Y=-0.281952)","(X=-0.251902,Y=-0.252298)","(X=-0.235967,Y=-0.26712)","True"
1372,"(X=564.236084,Y=-136.680313,Z=-141.145798)","0.010488","16.886387",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-4.402696,Y=-1.165121,Z=6.666992)","(X=-0.788009,Y=0.615663,Z=0.000842)","(X=0.106606,Y=-0.939743,Z=-0.324835)","(X=553.895996,Y=-45.530937,Z=-109.638756)","(Pitch=-0.298308,Yaw=-64.208405,Roll=3.683707)","0.564211","0.817594","(X=-0.212122,Y=-0.281166)","(X=-0.244665,Y=-0.250746)","(X=-0.228402,Y=-0.265948)","True"
1373,"(X=563.981262,Y=-137.006683,Z=-140.95575)","0.011849","16.898235",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-4.316478,Y=-1.570113,Z=6.85704)","(X=-0.788009,Y=0.615663,Z=0.000842)","(X=0.105815,Y=-0.940693,Z=-0.322335)","(X=553.696289,Y=-45.573418,Z=-109.625557)","(Pitch=-0.313936,Yaw=-64.445267,Roll=3.511738)","0.60163","0.814903","(X=-0.216717,Y=-0.274596)","(X=-0.236947,Y=-0.250309)","(X=-0.226847,Y=-0.262435)","True"
1374,"(X=564.056763,Y=-136.909698,Z=-141.227753)","0.010934","16.90917",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-4.342242,Y=-1.449935,Z=6.585037)","(X=-0.788009,Y=0.615663,Z=0.000842)","(X=0.10855,Y=-0.939339,Z=-0.32536)","(X=553.507507,Y=-45.62114,Z=-109.608032)","(Pitch=-0.289914,Yaw=-64.64534,Roll=3.316186)","0.63159","0.83372","(X=-0.211948,Y=-0.275762)","(X=-0.233113,Y=-0.251793)","(X=-0.222545,Y=-0.263762)","True"
1375,"(X=563.866699,Y=-137.172592,Z=-141.315094)","0.011064","16.920235",StaticMeshActor_78,"(X=567.958618,Y=-139.304047,Z=-147.81279)","(Pitch=0.0,Yaw=-49.999981,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-4.263024,Y=-1.764517,Z=6.497696)","(X=-0.874136,Y=0.485681,Z=0.00086)","(X=0.108308,Y=-0.939251,Z=-0.325695)","(X=553.314514,Y=-45.663906,Z=-109.583511)","(Pitch=-0.210636,Yaw=-64.820633,Roll=3.055867)","0.63159","0.83372","(X=-0.210616,Y=-0.274815)","(X=-0.232577,Y=-0.252761)","(X=-0.221605,Y=-0.263779)","True"
